title,bedrooms,bathrooms,car_spaces,land_size,building_size,multiple_floor,issecurity,isgarden,isbalcony,iscourtyard,lokasi, harga 
Rumah Minimalis Bernuansa Bali Di Serpong,3,3,1,60,67,2,0,0,0,0,"Serpong, Tangerang Selatan"," Rp700,000,000.00 "
Rumah baru dijual siap huni 2 lantai di serpong,2,2,2,53,60,1,1,0,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Dijual Siap Huni - Pamulang Eastate,3,1,1,126,90,1,0,0,0,0,"Pamulang Timur, Tangerang Selatan"," Rp875,000,000.00 "
Cluster Pamulang Rumah 2 Lantai Murah Di Pamulang,3,1,1,60,52,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp650,000,000.00 "
DIJUAL RUMAH BARU TINGKAT FULL Cinangka Sawangan,3,3,24,85,110,1,0,1,0,0,"Pondok Cabe, Tangerang Selatan"," Rp850,000,000.00 "
"Rumah Baru Siap Huni, Bonus Full Furnished Konsep Industrial.",3,2,1,63,90,1,1,0,1,0,"Pamulang, Tangerang Selatan"," Rp900,000,000.00 "
Dijual Rumah di Pamulang Timur dekat Gaplek & Universitas Pamulang,4,3,2,125,230,1,1,0,0,1,"Pamulang Timur, Tangerang Selatan"," Rp800,000,000.00 "
"Op98.New Cluster 1 dan 2 LT , Modern Minimalist Hrg Menarik tangsel",3,2,1,62,65,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp785,000,000.00 "
Dijual rumah 2lantai siap huni di belakang senayan bintaro,3,2,1,84,100,1,1,1,1,0,Tangerang Selatan," Rp850,000,000.00 "
Op10.Rumah Minimalis Modern dlm Townhouse Exclusive Dkt Pintu Tol Gaplek,3,2,1,72,80,1,0,0,0,0,"Pamulang Timur, Tangerang Selatan"," Rp895,000,000.00 "
DIJUAL RUMAH BARU CLUSTER AYAMA ARIA SERPONG BSD TANGERANG,3,3,2,75,69,2,1,1,0,1,"Serpong, Tangerang Selatan"," Rp840,000,000.00 "
Rumah Baru Eksklusif di Selatan Jakarta - DP bisa dicicil,2,1,1,90,51,1,1,1,0,1,"Ciputat, Tangerang Selatan"," Rp900,000,000.00 "
440.Rumah Baru 1lantai konsep Private cluster Hrg Ekonomis Free biaya,2,1,1,70,40,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp695,000,000.00 "
"Rumah Dekat BSD. Free SHM, BPHTB, BBN, Subsidi 20jt & Canopy.",2,1,1,50,32,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp665,000,000.00 "
Rumah 2 Lantai di jual Kamar Tidur 3 dan Kamar Mandi 3 bayar 5Juta doa,3,3,2,98,69,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp800,000,000.00 "
Dijual rumah mewah premium 2 lantai di serpong dekat stasiun,3,3,2,63,83,2,1,0,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp1,000,000,000.00 "
Perumahan Baru Di BSD Serpong Bernuansa Danau Dekat Intermoda & Stasiun Cisauk,3,3,1,71,72,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp600,000,000.00 "
Rumah di komplek Pamulang,2,1,60,90,63,1,0,0,0,0,"Pamulang Barat, Tangerang Selatan"," Rp645,000,000.00 "
Rumah Serpong Dekat Citra Garden/Daan Mogot/Duri Intan,3,2,1,60,50,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp600,000,000.00 "
Rumah Tahap renovasi strategis dekat stasiun Pondok Ranji Bintaro,3,2,1,77,100,1,0,1,1,1,"Bintaro, Tangerang Selatan"," Rp750,000,000.00 "
Rumah Baru Murah 1 Lantai siap huni di pamulang,2,1,1,89,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp709,000,000.00 "
